crx_account_id,account_facility_name,account_type,postal_code,territory_id,territory_name,region_id,region_name,LTD,MTD,QTD,YTD
eZDJaFjZDMcMGQLUUgJWsW,UPMC CHILDRENS IP WAC,HCO,15224,2002,Northeast-PA,201,East,1,1,1,1
KLSYskHpuaEfQHFwVT2SMk,CAROLINAS MEDICAL CENTER,HCO,28203,2003,MidAtlantic CTL,201,East,1,0,1,1
WA8ZrWLakw9Y4SJfu9RYHP,CHILDRENS HOSPITAL OF WISC WAC,HCO,53226,2006,Midwest,202,West,4,1,4,4
3ndxknD6b8ZLiyzFKMNc3H,ORSINI PHARMACEUTICAL SERVICES,SP,60007,2006,Midwest,202,West,20,0,20,20
XyRFfFTZ7TehNn5oQ5vNKL,UIA STOREROOM WAC,HCO,52242,2006,Midwest,202,West,2,0,2,2
